Name,Type,Subtype,Prerequisite,Description,Additional Notes,Martial,Spellcasting,Mastery,Offensive,Defensive,Skill,Racial,Flavour,Exclusive,Prereq,Rest,Exploration,Roleplay,Movement,Meta,Piety
Warrior of Chaos,Chromatic,Chaos,,"Whenever you roll a 1 on an attack roll you may choose to hit instead, but you also take the damage your attack dealt.",,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Chaotic Failure,Chromatic,Chaos,Spellcasting,"Once per long rest when you roll a 1 with a d20 you can forgo gaining inspiration and instead roll on the {@table wild magic surge|phb} table. If the effect would result in you regaining all your sorcery points, you can instead regain the highest level spellslot you have spent or a hit die. ",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Elemental Chaos,Chromatic,Chaos,{@race Genasi},"Whenever you finish a long rest in an area with a lot of Chromatic Orenth of a different element, you may choose to become the genasi associated with that element instead. Additionally once per Short Rest when a creature within 60 feet of you takes Elemental damage you may use your reaction to deal an additional 2d4 damage to them. Both of the damage dice are of Elemental damage types of your choice.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Prismatic Breath,Chromatic,Chaos,{@race Dragonborn (Chromatic)},"Whenever you use your breath weapon, you may choose to deal any type of Elemental Damage. You count as any type of chromatic dragonborn for the sake of trait prerequisites ",,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Warrior of Flame,Chromatic,Fire,,Whenever you crit on an attack roll you may deal an additional 2d6 fire damage to the target.,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Warrior of Spores,Chromatic,Fungi,,Whenever you crit on an attack roll you may also deal 1d8 psychic damage to the target and any creature of your choice within 15 feet of them. ,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mind Poison,Chromatic,Fungi,,Once per turn when you deal poison damage you may also deal 1d4 psychic damage.,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Warrior of Storm,Chromatic,Lightning,,When you deal damage to a target it can’t take reactions until the start of its next turn. You may use this feature a number of times equal to your Wisdom Modifier (minimum of once) and regain all uses at the end of a long rest.,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Warrior of Water,Chromatic,Water,,You gain a swimming speed equal to your walking speed. If you have a swimming speed it increases by 15 feet. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Warrior of Wind,Chromatic,Wind,,"Whenever you hit a creature that is no more than 1 size larger than you with a melee weapon attack or unarmed strike, you may choose to push it 15 feet in a horizontal direction of your choosing.
You may use this feature a number of times equal to your Wisdom modifier (minimum of once) and regain all uses at the end of a long rest.",,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Smell of Fear,Chromatic,Fungi,,You are aware of all creatures with the {@condition frightened} condition within 120 feet of you. You can't have disadvantage on attack rolls against them. ,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
